0,318569
7.38e-08,318037
1.47688e-07,316559
2.21666e-07,315085
2.95731e-07,313609
3.69885e-07,312140
4.44128e-07,310680
5.1846e-07,309229
5.9288e-07,307787
6.6739e-07,306354
7.41988e-07,304930
8.16675e-07,303516
8.91451e-07,302111
9.66315e-07,300714
1.04127e-06,299327
1.11631e-06,297948
1.19144e-06,296579
1.26667e-06,295218
1.34198e-06,293866
1.41737e-06,292522
1.49286e-06,291187
1.56844e-06,289860
1.64411e-06,288542
1.71986e-06,287232
1.79571e-06,285931
1.87165e-06,284637
1.94767e-06,283352
2.02378e-06,282075
2.09999e-06,280806
2.17628e-06,279545
2.25266e-06,278292
2.32913e-06,277047
2.4057e-06,275810
2.48235e-06,274580
2.55909e-06,273358
2.63592e-06,272144
2.71284e-06,270937
2.78985e-06,269738
2.86695e-06,268546
2.94414e-06,267362
3.02142e-06,266185
3.09879e-06,265016
3.17625e-06,263853
3.25379e-06,262698
3.33143e-06,261550
3.40916e-06,260409
3.48698e-06,259276
3.56489e-06,258149
3.64289e-06,257029
3.72097e-06,255916
3.79915e-06,254810
3.87742e-06,253710
3.95578e-06,252618
4.03423e-06,251532
4.11277e-06,250452
4.1914e-06,249380
4.27011e-06,248314
4.34892e-06,247254
4.42782e-06,246201
4.50681e-06,245154
4.58589e-06,244113
4.66506e-06,243079
4.74432e-06,242051
4.82367e-06,241029
4.90311e-06,240014
4.98264e-06,239004
5.06226e-06,238001
5.14197e-06,237003
5.22178e-06,236012
5.30167e-06,235027
5.38165e-06,234047
5.46172e-06,233073
5.54188e-06,232106
5.62214e-06,231143
5.70248e-06,230187
5.78292e-06,229236
5.86344e-06,228291
5.94405e-06,227352
6.02476e-06,226418
6.10556e-06,225490
6.18644e-06,224567
6.26742e-06,223649
6.34848e-06,222737
6.42964e-06,221831
6.51089e-06,220929
6.59223e-06,220033
6.67366e-06,219142
6.75518e-06,218257
6.83678e-06,217376
6.91848e-06,216501
7.00028e-06,215631
7.08216e-06,214766
7.16413e-06,213906
7.24619e-06,213051
7.32834e-06,212200
7.41059e-06,211355
7.49292e-06,210515
7.57534e-06,209679
7.65786e-06,208849
7.74046e-06,208023
7.82316e-06,207201
7.90595e-06,206385
7.98882e-06,205573
8.07179e-06,204766
8.15485e-06,203963
8.238e-06,203165
8.32124e-06,202372
8.40457e-06,201583
8.48799e-06,200799
8.5715e-06,200019
8.6551e-06,199243
8.73879e-06,198472
8.82257e-06,197705
8.90644e-06,196942
8.99041e-06,196184
9.07446e-06,195430
9.15861e-06,194681
9.24284e-06,193935
9.32717e-06,193194
9.41158e-06,192456
9.49609e-06,191723
9.58069e-06,190994
9.66537e-06,190269
9.75015e-06,189548
9.83502e-06,188831
9.91998e-06,188118
1.0005e-05,187409
1.00902e-05,186704
1.01754e-05,186003
1.02607e-05,185306
1.03461e-05,184612
1.04316e-05,183922
1.05172e-05,183236
1.06029e-05,182554
1.06887e-05,181876
1.07746e-05,181201
1.08605e-05,180530
1.09466e-05,179863
1.10327e-05,179199
1.11189e-05,178539
1.12052e-05,177882
1.12916e-05,177229
1.13781e-05,176579
1.14647e-05,175933
1.15514e-05,175291
1.16382e-05,174652
1.1725e-05,174016
1.1812e-05,173384
1.1899e-05,172755
1.19861e-05,172129
1.20734e-05,171507
1.21607e-05,170888
1.22481e-05,170273
1.23356e-05,169660
1.24232e-05,169051
1.25108e-05,168446
1.25986e-05,167843
1.26864e-05,167243
1.27744e-05,166647
1.28624e-05,166054
1.29505e-05,165464
1.30388e-05,164877
1.31271e-05,164293
1.32155e-05,163712
1.33039e-05,163135
1.33925e-05,162560
1.34812e-05,161988
1.35699e-05,161419
1.36588e-05,160854
1.37477e-05,160291
1.38367e-05,159731
1.39259e-05,159174
1.40151e-05,158620
1.41044e-05,158068
1.41937e-05,157520
1.42832e-05,156974
1.43728e-05,156431
1.44624e-05,155891
1.45522e-05,155354
1.4642e-05,154819
1.4732e-05,154287
1.4822e-05,153758
1.49121e-05,153232
1.50023e-05,152708
1.50926e-05,152187
1.51829e-05,151668
1.52734e-05,151152
1.5364e-05,150639
1.54546e-05,150128
1.55453e-05,149620
1.56362e-05,149115
1.57271e-05,148612
1.58181e-05,148111
1.59092e-05,147613
1.60004e-05,147118
1.60917e-05,146625
1.6183e-05,146134
1.62745e-05,145646
1.6366e-05,145160
1.64577e-05,144677
1.65494e-05,144196
1.66412e-05,143717
1.67331e-05,143241
1.68251e-05,142767
1.69172e-05,142296
1.70094e-05,141826
1.71016e-05,141359
1.7194e-05,140895
1.72864e-05,140432
1.73789e-05,139972
1.74716e-05,139515
1.75643e-05,139059
1.76571e-05,138605
1.775e-05,138154
1.78429e-05,137705
1.7936e-05,137258
1.80292e-05,136814
1.81224e-05,136371
1.82158e-05,135931
1.83092e-05,135492
1.84027e-05,135056
1.84963e-05,134622
1.859e-05,134190
1.86838e-05,133760
1.87777e-05,133332
1.88716e-05,132906
1.89657e-05,132482
1.90598e-05,132060
1.91541e-05,131641
1.92484e-05,131223
1.93428e-05,130807
1.94373e-05,130393
1.95319e-05,129981
1.96266e-05,129571
1.97213e-05,129163
1.98162e-05,128757
1.99111e-05,128352
2.00062e-05,127950
2.01013e-05,127549
2.01965e-05,127151
2.02918e-05,126754
2.03872e-05,126359
2.04827e-05,125966
2.05782e-05,125574
2.06739e-05,125185
2.07696e-05,124797
2.08655e-05,124411
2.09614e-05,124027
2.10574e-05,123645
2.11535e-05,123264
2.12497e-05,122885
2.1346e-05,122508
2.14423e-05,122133
2.15388e-05,121759
2.16354e-05,121387
